"ID","BDAT","FDAT","ARDAT","LACT","CBRD","XLAME","LLAME","PSTRG","Event","DIM","Date","Remark","Protocols","Technician",
     38318 ,02/28/20,03/04/22,06/15/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 423 ,05/01/23,TRM             ,,,
     38320 ,02/28/20,04/09/22,05/08/23,   1 ,J    ,    1 ,    0 ,    2 ,LAME       , 281 ,01/15/23,TETDQQ          ,WART            ,Pedro Ch,
     38320 ,02/28/20,04/09/22,05/08/23,   1 ,J    ,    1 ,    0 ,    2 ,FOOTRIM    , 306 ,02/09/23,TRM             ,Pedro Ch,,
     38321 ,02/28/20,12/26/21,02/10/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 328 ,11/19/22,TRM             ,Pedro Ch,,
     38321 ,02/28/20,12/26/21,02/10/23,   1 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 346 ,12/07/22,TRM             ,Pedro Ch,,
     38321 ,02/28/20,02/10/23,00000000 ,   2 ,J    ,    0 ,    0 ,    2 ,FOOTRIM    , 150 ,07/10/23,TRM             ,,,
     38322 ,02/29/20,12/19/21,05/22/23,   1 ,H    ,    1 ,    0 ,    2 ,LAME       , 305 ,10/20/22,TETDRR          ,WART            ,Pedro Ch,
     38325 ,03/01/20,02/07/22,02/25/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 276 ,11/10/22,TRM             ,Pedro Ch,,
     38325 ,03/01/20,02/07/22,02/25/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 324 ,12/28/22,TRM             ,Pedro Ch,,
     38328 ,03/01/20,02/02/22,01/22/23,   1 ,X    ,    0 ,    0 ,    2 ,FOOTRIM    , 301 ,11/30/22,TRM             ,Pedro Ch,,
     38330 ,03/01/20,01/09/22,01/05/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 266 ,10/02/22,TRM             ,Pedro Ch,,
     38330 ,03/01/20,01/09/22,01/05/23,   1 ,H    ,    0 ,    0 ,    2 ,FOOTRIM    , 297 ,11/02/22,TRM             ,Pedro Ch,,
