"ID","CBRD","BDAT","FDAT","LACT","FTDAT","XLAME","LLAME","LMREM","Event","DIM","Date","Remark","Protocols","Technician",
     52025 ,X    ,03/06/14,07/17/18,   3 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 249 ,03/23/19,CAR4            ,                ,,
     52187 ,X    ,03/19/14,02/18/19,   4 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 332 ,01/16/20,CAR3            ,                ,,
     52191 ,X    ,03/20/14,09/13/17,   2 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 685 ,07/30/19,CAR3            ,                ,,
     52362 ,X    ,04/03/14,12/01/18,   3 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 127 ,04/07/19,CAR4            ,                ,,
     52363 ,H    ,04/03/14,08/24/18,   3 ,11/26/18,    2 ,    3 ,L8       ,SOLD       , 184 ,02/24/19,CAR2            ,                ,,
     52451 ,J    ,04/12/14,01/23/19,   4 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 180 ,07/22/19,CAR1            ,                ,,
     52728 ,X    ,05/05/14,07/05/18,   3 ,10/08/18,    3 ,    1 ,L7       ,SOLD       , 206 ,01/27/19,CAR2            ,                ,,
     52809 ,X    ,05/11/14,07/03/18,   3 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 173 ,12/23/18,CAR3            ,                ,,
     52820 ,J    ,05/12/14,07/04/19,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 115 ,10/27/19,CAR1            ,                ,,
     52871 ,X    ,05/18/14,08/01/19,   4 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 122 ,12/01/19,MIA             ,                ,,
     53006 ,J    ,05/25/14,08/05/19,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 145 ,12/28/19,CAR3            ,                ,,
     53034 ,X    ,05/27/14,05/10/19,   4 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 617 ,01/16/21,BFCARGIL        ,                ,,
     53043 ,X    ,05/27/14,10/21/17,   2 ,00000000 ,    0 ,    0 ,-        ,SOLD       , 457 ,01/21/19,CAR4            ,                ,,
     53121 ,X    ,05/26/14,12/21/21,   6 ,00000000 ,    0 ,    1 ,-        ,SOLD       ,  76 ,03/07/22,CAR4            ,                ,,
     53123 ,J    ,05/26/14,07/01/20,   5 ,00000000 ,    0 ,    0 ,-        ,SOLD       ,  64 ,09/03/20,CAR4            ,                ,,
     53154 ,X    ,06/05/14,08/24/19,   4 ,00000000 ,    0 ,    2 ,-        ,DIED       ,  85 ,11/17/19,53154           ,                ,,
     53158 ,X    ,06/05/14,04/19/18,   3 ,00000000 ,    0 ,    1 ,-        ,SOLD       , 330 ,03/15/19,CAR4            ,                ,,
     53177 ,J    ,06/07/14,03/16/22,   6 ,07/04/22,    1 ,    1 ,BLKUBR   ,DIED       , 217 ,10/19/22,B3              ,                ,,
